27989	25336
25336	25930
25930	26311
26311	26727
26727	27366
27366	24436
24436	25930
27989	26727
25336	24436
54061	53910
53910	58001
58001	59774
59774	54061
59774	62956
62956	65378
65378	67301
3179	746
746	4427
4427	6686
6686	8886
102098	100453
100453	98110
98110	95947
100453	102488
102488	104732
49669	50583
50583	50335
50335	48455
48455	47908
49669	54879
54879	57632
57632	54872
54872	50583
91262	97649
97649	102098
102098	91262
65474	60718
61084	62434
80763	81266
81266	82396
82396	82514
82514	82729
82729	84143
84143	86228
86228	87073
87073	86670
86670	85927
85927	85696
80763	78401
78401	78265
78401	78820
